State,State Code,Year,Sex,broad_age_group,Deaths,Population,component_age_groups_observed,rate_per_100k,expected_component_age_groups,complete_broad_age_group
Alabama,1,2016,Male,65+,119,340991.0,3,34.89828177283271,3,True
Alabama,1,2017,Female,25-44,18,304686.0,1,5.90772139185916,2,False
Alabama,1,2017,Female,45-64,36,668278.0,2,5.386979670137278,2,True
Alabama,1,2017,Male,15-24,48,328101.0,1,14.629641482348424,1,True
Alabama,1,2017,Male,25-44,130,602451.0,2,21.57851841892536,2,True
Alabama,1,2017,Male,45-64,174,618899.0,2,28.114441936406426,2,True
Alabama,1,2017,Male,65+,133,350007.0,3,37.999240015199696,3,True
Alabama,1,2018,Female,25-44,32,631507.0,2,5.067243910202104,2,True
Alabama,1,2018,Female,45-64,38,666727.0,2,5.699484196680201,2,True
Alabama,1,2018,Female,65+,11,263223.0,1,4.1789661237809765,3,False
Alabama,1,2018,Male,15-24,54,323639.0,1,16.685257339195832,1,True
Alabama,1,2018,Male,25-44,138,604335.0,2,22.8350170021594,2,True
Alabama,1,2018,Male,45-64,141,615910.0,2,22.89295513954961,2,True
Alabama,1,2018,Male,65+,121,360623.0,3,33.55304570146663,3,True
Alabama,1,2019,Female,15-24,11,315228.0,1,3.4895377314197975,1,True
Alabama,1,2019,Female,25-44,35,634090.0,2,5.519721175227492,2,True
Alabama,1,2019,Female,45-64,37,662701.0,2,5.583211735005682,2,True
Alabama,1,2019,Female,65+,11,270914.0,1,4.060329108130255,3,False
Alabama,1,2019,Male,15-24,49,320479.0,1,15.289613360001747,1,True
Alabama,1,2019,Male,25-44,123,606445.0,2,20.282136055206983,2,True
Alabama,1,2019,Male,45-64,134,611582.0,2,21.910389776023493,2,True
Alabama,1,2019,Male,65+,130,371151.0,3,35.02617533025642,3,True
Alabama,1,2020,Female,15-24,15,314320.0,1,4.772206668363451,1,True
Alabama,1,2020,Female,25-44,32,637295.0,2,5.021222510768169,2,True
Alabama,1,2020,Female,45-64,34,658328.0,2,5.164598801813078,2,True
Alabama,1,2020,Female,65+,0,60932.0,1,0.0,3,False
Alabama,1,2020,Male,15-24,56,319071.0,1,17.55095260929386,1,True
Alabama,1,2020,Male,25-44,141,609613.0,2,23.129428014166365,2,True
Alabama,1,2020,Male,45-64,105,607127.0,2,17.294569340516894,2,True
Alabama,1,2020,Male,65+,142,381820.0,3,37.190299093813834,3,True
Alabama,1,2021,Female,25-44,24,652147.0,2,3.680151867600403,2,True
Alabama,1,2021,Female,45-64,38,666388.0,2,5.702383596343271,2,True
Alabama,1,2021,Female,65+,15,346663.0,2,4.326968842939685,3,False
Alabama,1,2021,Male,15-24,69,328462.0,1,21.006996243096616,1,True
Alabama,1,2021,Male,25-44,158,625601.0,2,25.25571410531633,2,True
Alabama,1,2021,Male,45-64,174,628179.0,2,27.699111240585886,2,True
Alabama,1,2021,Male,65+,120,393068.0,3,30.52906876163921,3,True
Alabama,1,2022,Female,25-44,16,318302.0,1,5.026672782451885,2,False
Alabama,1,2022,Female,45-64,38,654973.0,2,5.801765874318484,2,True
Alabama,1,2022,Male,15-24,60,347548.0,1,17.263802410026816,1,True
Alabama,1,2022,Male,25-44,152,630671.0,2,24.10131431443653,2,True
Alabama,1,2022,Male,45-64,166,621254.0,2,26.720149890383,2,True
Alabama,1,2022,Male,65+,144,401553.0,3,35.86077055830737,3,True
Alabama,1,2023,Female,15-24,11,340026.0,1,3.235046731720516,1,True
Alabama,1,2023,Female,25-44,34,659089.0,2,5.158635631910106,2,True
Alabama,1,2023,Female,45-64,44,656365.0,2,6.703587180913059,2,True
Alabama,1,2023,Female,65+,11,296530.0,1,3.709574073449567,3,False
Alabama,1,2023,Male,15-24,57,345576.0,1,16.494200986179596,1,True
Alabama,1,2023,Male,25-44,143,632903.0,2,22.5942996004127,2,True
Alabama,1,2023,Male,45-64,145,616664.0,2,23.51361519401165,2,True
Alabama,1,2023,Male,65+,155,412136.0,3,37.60894462022245,3,True
Alabama,1,2024,Female,25-44,31,668091.0,2,4.640086455288277,2,True
Alabama,1,2024,Female,45-64,33,655413.0,2,5.034993202759177,2,True
Alabama,1,2024,Male,15-24,72,351433.0,1,20.487546701647258,1,True
Alabama,1,2024,Male,25-44,161,641320.0,2,25.104472026445453,2,True
Alabama,1,2024,Male,45-64,142,613942.0,2,23.129220675568703,2,True
Alabama,1,2024,Male,65+,156,423477.0,3,36.83789202247112,3,True
Alaska,2,1999,Female,45-64,0,63457.0,2,0.0,2,True
Alaska,2,1999,Female,65+,0,7283.0,2,0.0,3,False
Alaska,2,1999,Male,15-24,13,47131.0,1,27.58269504148013,1,True
Alaska,2,2000,Female,25-44,0,55695.0,1,0.0,2,False
Alaska,2,2000,Female,45-64,0,20844.0,1,0.0,2,False
Alaska,2,2000,Female,65+,0,18975.0,3,0.0,3,True
Alaska,2,2000,Male,15-24,27,47558.0,1,56.77278270743093,1,True
Alaska,2,2000,Male,25-44,36,104661.0,2,34.39676670392983,2,True
Alaska,2,2000,Male,45-64,13,50261.0,1,25.864984779451266,2,False
Alaska,2,2000,Male,65+,0,903.0,1,0.0,3,False
Alaska,2,2001,Female,45-64,0,47138.0,1,0.0,2,False
Alaska,2,2001,Female,65+,0,19865.0,3,0.0,3,True
Alaska,2,2001,Male,15-24,12,50691.0,1,23.67284133278097,1,True
Alaska,2,2001,Male,25-44,13,56799.0,1,22.88772689660029,2,False
Alaska,2,2001,Male,45-64,13,52815.0,1,24.61421944523336,2,False
Alaska,2,2001,Male,65+,0,939.0,1,0.0,3,False
Alaska,2,2002,Female,65+,0,8631.0,2,0.0,3,False
Alaska,2,2002,Male,15-24,18,53053.0,1,33.928335815128264,1,True
Alaska,2,2002,Male,25-44,25,99823.0,2,25.044328461376637,2,True
Alaska,2,2002,Male,45-64,13,54127.0,1,24.017588264636874,2,False
Alaska,2,2003,Female,65+,0,21357.0,3,0.0,3,True
Alaska,2,2003,Male,15-24,17,54512.0,1,31.18579395362489,1,True
Alaska,2,2003,Male,25-44,15,44265.0,1,33.88681802778719,2,False
Alaska,2,2003,Male,45-64,20,85617.0,2,23.359846759405258,2,True
Alaska,2,2004,Female,45-64,0,28370.0,1,0.0,2,False
Alaska,2,2004,Female,65+,0,9325.0,2,0.0,3,False
Alaska,2,2004,Male,15-24,21,56880.0,1,36.91983122362869,1,True
Alaska,2,2004,Male,25-44,34,97175.0,2,34.98842294828917,2,True
Alaska,2,2004,Male,45-64,17,56508.0,1,30.084235860409148,2,False
Alaska,2,2004,Male,65+,0,1120.0,1,0.0,3,False
Alaska,2,2005,Female,45-64,0,30403.0,1,0.0,2,False
Alaska,2,2005,Female,65+,0,23015.0,3,0.0,3,True
Alaska,2,2005,Male,15-24,17,58288.0,1,29.165522920669776,1,True
Alaska,2,2005,Male,25-44,28,96762.0,2,28.936979392736816,2,True
Alaska,2,2005,Male,45-64,16,57268.0,1,27.93881399734581,2,False
Alaska,2,2006,Female,65+,0,23687.0,3,0.0,3,True
Alaska,2,2006,Male,15-24,19,58617.0,1,32.41380486889469,1,True
Alaska,2,2006,Male,25-44,10,46233.0,1,21.629571950771094,2,False
Alaska,2,2006,Male,45-64,23,95405.0,2,24.107751166081442,2,True
Alaska,2,2007,Female,15-24,0,50391.0,1,0.0,1,True
Alaska,2,2007,Female,45-64,0,34318.0,1,0.0,2,False
Alaska,2,2007,Female,65+,0,10216.0,2,0.0,3,False
Alaska,2,2007,Male,15-24,18,58412.0,1,30.81558583852633,1,True
Alaska,2,2007,Male,25-44,28,97316.0,2,28.77224711249949,2,True
Alaska,2,2007,Male,45-64,29,97267.0,2,29.814839565320202,2,True
Alaska,2,2008,Female,65+,0,25879.0,3,0.0,3,True
Alaska,2,2008,Male,15-24,22,58527.0,1,37.58948861209356,1,True
Alaska,2,2008,Male,25-44,36,98595.0,2,36.513007759014144,2,True
Alaska,2,2008,Male,45-64,34,99122.0,2,34.30116422186801,2,True
Alaska,2,2009,Female,65+,0,27147.0,3,0.0,3,True
Alaska,2,2009,Male,15-24,19,55597.0,1,34.174505818659284,1,True
Alaska,2,2009,Male,25-44,17,50970.0,1,33.35295271728468,2,False
Alaska,2,2009,Male,45-64,10,58273.0,1,17.160606112607898,2,False
Alaska,2,2009,Male,65+,0,6627.0,1,0.0,3,False
Alaska,2,2010,Female,65+,0,20025.0,2,0.0,3,False
Alaska,2,2010,Male,15-24,29,56885.0,1,50.98004746418212,1,True
Alaska,2,2010,Male,25-44,26,102545.0,2,25.35472231703155,2,True
Alaska,2,2011,Female,65+,0,11633.0,2,0.0,3,False
Alaska,2,2011,Male,15-24,20,57718.0,1,34.65123531653904,1,True
Alaska,2,2011,Male,25-44,29,103151.0,2,28.114123954203063,2,True
Alaska,2,2011,Male,45-64,22,104964.0,2,20.959567089668838,2,True
Alaska,2,2012,Female,65+,0,28405.0,2,0.0,3,False
Alaska,2,2012,Male,15-24,20,59592.0,1,33.561551886159215,1,True
Alaska,2,2012,Male,25-44,31,106303.0,2,29.161923934413892,2,True
Alaska,2,2012,Male,45-64,26,104008.0,2,24.998077070994537,2,True
Alaska,2,2013,Female,65+,0,12463.0,2,0.0,3,False
Alaska,2,2013,Male,15-24,28,62218.0,1,45.00305377864927,1,True
Alaska,2,2013,Male,25-44,43,108535.0,2,39.61855622610218,2,True
Alaska,2,2013,Male,45-64,13,52269.0,1,24.87133865197345,2,False
Alaska,2,2013,Male,65+,0,2002.0,1,0.0,3,False
Alaska,2,2014,Female,65+,0,35020.0,3,0.0,3,True
Alaska,2,2014,Male,15-24,23,62364.0,1,36.88025142710538,1,True
Alaska,2,2014,Male,25-44,42,110597.0,2,37.9757136269519,2,True
Alaska,2,2014,Male,45-64,30,99177.0,2,30.248948849027496,2,True
Alaska,2,2015,Female,65+,0,27345.0,2,0.0,3,False
Alaska,2,2015,Male,15-24,25,62243.0,1,40.165159134360486,1,True
Alaska,2,2015,Male,25-44,32,112412.0,2,28.466711738960253,2,True
Alaska,2,2015,Male,45-64,30,97624.0,2,30.73014832418258,2,True
Alaska,2,2015,Male,65+,0,2316.0,1,0.0,3,False
Alaska,2,2016,Female,65+,0,13619.0,2,0.0,3,False
Alaska,2,2016,Male,15-24,25,58200.0,1,42.955326460481096,1,True
Alaska,2,2016,Male,25-44,42,112391.0,2,37.36954026567964,2,True
Alaska,2,2016,Male,45-64,11,49240.0,1,22.339561332250202,2,False
Alaska,2,2016,Male,65+,0,2417.0,1,0.0,3,False
Alaska,2,2017,Female,65+,0,14524.0,2,0.0,3,False
Alaska,2,2017,Male,15-24,30,56158.0,1,53.420705865593504,1,True
Alaska,2,2017,Male,25-44,21,64059.0,1,32.78227883669742,2,False
Alaska,2,2017,Male,45-64,27,96981.0,2,27.840504841154452,2,True
Alaska,2,2018,Female,45-64,0,42122.0,1,0.0,2,False
Alaska,2,2018,Female,65+,0,4259.0,1,0.0,3,False
Alaska,2,2018,Male,15-24,20,54662.0,1,36.5884892612784,1,True
Alaska,2,2018,Male,25-44,28,112527.0,2,24.882916988811573,2,True
Alaska,2,2018,Male,45-64,27,94622.0,2,28.534590264420537,2,True
Alaska,2,2019,Female,65+,0,16346.0,2,0.0,3,False
Alaska,2,2019,Male,15-24,25,52974.0,1,47.19296258541927,1,True
Alaska,2,2019,Male,25-44,33,112470.0,2,29.341157642037874,2,True
Alaska,2,2019,Male,45-64,32,92568.0,2,34.56918157462622,2,True
Alaska,2,2020,Female,65+,0,16975.0,2,0.0,3,False
Alaska,2,2020,Male,15-24,22,52559.0,1,41.85772179835994,1,True
Alaska,2,2020,Male,25-44,40,113227.0,2,35.32726293198618,2,True
Alaska,2,2020,Male,45-64,26,90856.0,2,28.616712159901383,2,True
Alaska,2,2020,Male,65+,12,35647.0,2,33.6634218868348,3,False
Alaska,2,2021,Female,65+,0,4067.0,1,0.0,3,False
Alaska,2,2021,Male,15-24,34,52756.0,1,64.44764576541057,1,True
Alaska,2,2021,Male,25-44,52,113964.0,2,45.62844407005721,2,True
Alaska,2,2021,Male,65+,11,34101.0,1,32.25711855957303,3,False
Alaska,2,2022,Female,45-64,0,38629.0,1,0.0,2,False
Alaska,2,2022,Female,65+,0,51270.0,3,0.0,3,True
Alaska,2,2022,Male,15-24,21,53968.0,1,38.91194782093092,1,True
Alaska,2,2022,Male,25-44,36,115973.0,2,31.04170798375484,2,True
Alaska,2,2022,Male,45-64,15,44344.0,1,33.82644777196464,2,False
Alaska,2,2022,Male,65+,11,34425.0,1,31.95352214960058,3,False
Alaska,2,2023,Female,65+,0,38216.0,2,0.0,3,False
Alaska,2,2023,Male,15-24,14,53099.0,1,26.36584493116631,1,True
Alaska,2,2023,Male,25-44,40,116358.0,2,34.37666511971674,2,True
Alaska,2,2023,Male,45-64,26,88704.0,2,29.31096681096681,2,True
Alaska,2,2023,Male,65+,13,35380.0,1,36.74392312040701,3,False
Alaska,2,2024,Female,45-64,0,38810.0,1,0.0,2,False
Alaska,2,2024,Female,65+,0,20173.0,2,0.0,3,False
Alaska,2,2024,Male,15-24,22,54206.0,1,40.58591299856104,1,True
Alaska,2,2024,Male,25-44,50,117912.0,2,42.404505054617005,2,True
Alaska,2,2024,Male,45-64,28,88270.0,2,31.720856463124505,2,True
Alaska,2,2024,Male,65+,24,51352.0,2,46.73625175260944,3,False
Arizona,4,1999,Female,25-44,19,376826.0,1,5.0421149283754305,2,False
Arizona,4,1999,Female,45-64,27,532846.0,2,5.067130090119847,2,True
Arizona,4,1999,Male,15-24,51,371056.0,1,13.744556077788797,1,True
Arizona,4,1999,Male,25-44,135,768367.0,2,17.56972904874884,2,True
Arizona,4,1999,Male,45-64,114,499668.0,2,22.815149259108047,2,True
Arizona,4,1999,Male,65+,112,292704.0,3,38.26391166502678,3,True
Arizona,4,2000,Female,25-44,26,735746.0,2,3.533828250510366,2,True
Arizona,4,2000,Female,45-64,11,320115.0,1,3.436265092232479,2,False
Arizona,4,2000,Male,15-24,85,381694.0,1,22.269147537032282,1,True
Arizona,4,2000,Male,25-44,120,775723.0,2,15.469439477751724,2,True
Arizona,4,2000,Male,45-64,111,518199.0,2,21.420342378121145,2,True
Arizona,4,2000,Male,65+,119,296267.0,3,40.1664714598656,3,True
Arizona,4,2001,Female,25-44,10,384454.0,1,2.6010914179589757,2,False
Arizona,4,2001,Female,45-64,25,582169.0,2,4.294285679931429,2,True
Arizona,4,2001,Male,15-24,49,396314.0,1,12.363933648571587,1,True
Arizona,4,2001,Male,25-44,132,783187.0,2,16.85421234009247,2,True
Arizona,4,2001,Male,45-64,114,546584.0,2,20.856812493596593,2,True
Arizona,4,2001,Male,65+,109,304340.0,3,35.81520667674312,3,True
Arizona,4,2002,Female,25-44,14,386601.0,1,3.6213046526004846,2,False
Arizona,4,2002,Female,45-64,36,608077.0,2,5.920302856381675,2,True
Arizona,4,2002,Male,15-24,82,406526.0,1,20.17091157761127,1,True
Arizona,4,2002,Male,25-44,148,790989.0,2,18.710753246884597,2,True
Arizona,4,2002,Male,45-64,120,571327.0,2,21.00373341361427,2,True
Arizona,4,2002,Male,65+,127,310708.0,3,40.87439010260437,3,True
Arizona,4,2003,Female,25-44,17,387295.0,1,4.389418918395538,2,False
Arizona,4,2003,Female,45-64,22,635109.0,2,3.463972326010181,2,True
Arizona,4,2003,Male,15-24,67,413751.0,1,16.193314336400395,1,True
Arizona,4,2003,Male,25-44,128,795376.0,2,16.09301764197059,2,True
Arizona,4,2003,Male,45-64,123,595508.0,2,20.654634362594624,2,True
Arizona,4,2003,Male,65+,101,319042.0,3,31.657273963929512,3,True
Arizona,4,2004,Female,25-44,26,772040.0,2,3.36770115538055,2,True
Arizona,4,2004,Female,45-64,16,371124.0,1,4.311227514253996,2,False
Arizona,4,2004,Male,15-24,76,423246.0,1,17.95646030913464,1,True
Arizona,4,2004,Male,25-44,126,808050.0,2,15.593094486727304,2,True
Arizona,4,2004,Male,45-64,123,622019.0,2,19.774315575569233,2,True
Arizona,4,2004,Male,65+,123,328457.0,3,37.447824220522016,3,True
Arizona,4,2005,Female,25-44,27,793207.0,2,3.4039033947002486,2,True
Arizona,4,2005,Female,45-64,21,386004.0,1,5.440358131003824,2,False
Arizona,4,2005,Male,15-24,70,434592.0,1,16.107061335689565,1,True
Arizona,4,2005,Male,25-44,123,826811.0,2,14.876434880522877,2,True
Arizona,4,2005,Male,45-64,134,654740.0,2,20.466139230839723,2,True
Arizona,4,2005,Male,65+,121,341175.0,3,35.46567011064703,3,True
Arizona,4,2006,Female,15-24,11,410736.0,1,2.6781192785633596,1,True
Arizona,4,2006,Female,25-44,12,407003.0,1,2.948381215863274,2,False
Arizona,4,2006,Female,45-64,38,731765.0,2,5.1929239578279915,2,True
Arizona,4,2006,Male,15-24,78,446131.0,1,17.48365390434648,1,True
Arizona,4,2006,Male,25-44,120,848761.0,2,14.138255645582207,2,True
Arizona,4,2006,Male,45-64,146,686036.0,2,21.28168201085657,2,True
Arizona,4,2006,Male,65+,131,352904.0,3,37.120576700745815,3,True
Arizona,4,2007,Female,25-44,13,410351.0,1,3.1680195734870877,2,False
Arizona,4,2007,Female,45-64,24,756904.0,2,3.170811622081532,2,True
Arizona,4,2007,Male,15-24,71,456430.0,1,15.555506868523103,1,True
Arizona,4,2007,Male,25-44,170,857220.0,2,19.831548493968874,2,True
Arizona,4,2007,Male,45-64,146,711295.0,2,20.525942119654996,2,True
Arizona,4,2007,Male,65+,105,363538.0,3,28.882812800862634,3,True
Arizona,4,2008,Female,25-44,18,410415.0,1,4.385804612404518,2,False
Arizona,4,2008,Female,45-64,46,776932.0,2,5.92072407881256,2,True
Arizona,4,2008,Female,65+,10,243142.0,1,4.112822959422888,3,False
Arizona,4,2008,Male,15-24,51,463561.0,1,11.001788329906958,1,True
Arizona,4,2008,Male,25-44,115,860977.0,2,13.35691894208556,2,True
Arizona,4,2008,Male,45-64,157,730795.0,2,21.48345295192222,2,True
Arizona,4,2008,Male,65+,123,377511.0,3,32.58183205257595,3,True
Arizona,4,2009,Female,15-24,13,434779.0,1,2.990024817205983,1,True
Arizona,4,2009,Female,25-44,34,827785.0,2,4.107346714424639,2,True
Arizona,4,2009,Female,45-64,40,793994.0,2,5.037821444494543,2,True
Arizona,4,2009,Male,15-24,51,465623.0,1,10.953067180959703,1,True
Arizona,4,2009,Male,25-44,121,857297.0,2,14.114128475895752,2,True
Arizona,4,2009,Male,45-64,175,746851.0,2,23.431715295286477,2,True
Arizona,4,2009,Male,65+,154,391241.0,3,39.36192781431394,3,True
Arizona,4,2010,Female,25-44,13,418862.0,1,3.103647502041245,2,False
Arizona,4,2010,Female,45-64,43,808245.0,2,5.320169008159654,2,True
Arizona,4,2010,Male,15-24,60,466842.0,1,12.852314059146348,1,True
Arizona,4,2010,Male,25-44,144,853954.0,2,16.862734995093412,2,True
Arizona,4,2010,Male,45-64,198,760529.0,2,26.034510189618018,2,True
Arizona,4,2010,Male,65+,133,401695.0,3,33.10969765618193,3,True
